gene,l1norm,genelen,sampid1,sampid2
3-PA,0.0,2208,6-26,6-28
4-HA,2.978198882822552,1745,6-26,6-28
5-NP,0.09039548022598873,1507,6-26,6-28
6-NA,1.7020316027088036,1437,6-26,6-28
7-M,2.3291527300615997,1003,6-26,6-28
8-NS,0.0,864,6-26,6-28
1-PB2,8.55636014308169,2301,6-26,2-24
2-PB1,6.684563933983173,2314,6-26,2-24
3-PA,2.4308209155805662,2208,6-26,2-24
4-HA,11.349914959963,1745,6-26,2-24
5-NP,4.266157595597777,1507,6-26,2-24
6-NA,12.788594933310346,1437,6-26,2-24
7-M,2.3910008147176605,1003,6-26,2-24
8-NS,2.2633033256006043,864,6-26,2-24
1-PB2,8.622368289141122,2301,6-26,3-15
2-PB1,7.282608945899107,2284,6-26,3-15
3-PA,6.197040887527571,2208,6-26,3-15
4-HA,9.516012116673103,1743,6-26,3-15
5-NP,2.2880164034737804,1507,6-26,3-15
6-NA,9.579471799748296,1437,6-26,3-15
7-M,2.3005167958656334,1001,6-26,3-15
8-NS,2.1446792109043766,864,6-26,3-15
1-PB2,3.0088740878038847,2301,6-26,2-26
2-PB1,0.6681301651950586,2314,6-26,2-26
3-PA,2.178469286875102,2208,6-26,2-26
4-HA,3.2141699187926984,1745,6-26,2-26
5-NP,0.19726202286905248,1507,6-26,2-26
6-NA,2.0432537120723047,1437,6-26,2-26
7-M,2.16925219644756,1003,6-26,2-26
8-NS,0.18201904909127412,864,6-26,2-26
1-PB2,18.19721883338761,2301,6-26,4-13
2-PB1,4.386012592290618,2311,6-26,4-13
3-PA,6.06798866855524,2208,6-26,4-13
4-HA,11.696766435419912,1734,6-26,4-13
5-NP,6.0,1507,6-26,4-13
6-NA,14.048309178743963,1437,6-26,4-13
7-M,6.341753909267695,1003,6-26,4-13
8-NS,0.0,864,6-26,4-13
1-PB2,4.22937521879188,2301,6-26,6-17
2-PB1,2.2777777777777777,2314,6-26,6-17
3-PA,4.161904761904761,2208,6-26,6-17
4-HA,11.046097317538145,1745,6-26,6-17
5-NP,2.074074074074074,1507,6-26,6-17
6-NA,6.046632124352333,1437,6-26,6-17
7-M,2.321809694200109,1003,6-26,6-17
8-NS,1.1956521739130437,864,6-26,6-17
1-PB2,18.893496557389952,2301,6-26,3-20
2-PB1,16.4751532362473,2280,6-26,3-20
3-PA,9.391140874538301,2208,6-26,3-20
4-HA,19.66842561951129,1687,6-26,3-20
5-NP,8.741393292882295,1507,6-26,3-20
6-NA,12.0,1437,6-26,3-20
7-M,6.4391314784382985,1000,6-26,3-20
8-NS,0.0,864,6-26,3-20
1-PB2,4.373579414244956,2301,6-26,6-22
2-PB1,2.4433316225375368,2314,6-26,6-22
3-PA,4.268112811088028,2208,6-26,6-22
4-HA,11.985731474554116,1734,6-26,6-22
5-NP,2.0777917189460475,1507,6-26,6-22
6-NA,6.277678237329657,1437,6-26,6-22
7-M,2.33696981155858,1002,6-26,6-22
8-NS,0.0,835,6-26,6-22
1-PB2,8.177088971541224,2301,6-26,2-23
2-PB1,6.6271856361065,2311,6-26,2-23
3-PA,2.1919501389894114,2208,6-26,2-23
4-HA,11.135356531907492,1745,6-26,2-23
5-NP,4.163625836753506,1507,6-26,2-23
6-NA,12.078740157480313,1437,6-26,2-23
7-M,2.419152814102715,1003,6-26,2-23
8-NS,2.0,864,6-26,2-23
1-PB2,4.550532870357284,2301,6-26,4-11
2-PB1,3.0844764088666525,2311,6-26,4-11
3-PA,2.424891840030309,2208,6-26,4-11
4-HA,11.88711090872931,1745,6-26,4-11
5-NP,2.1166708467714868,1507,6-26,4-11
6-NA,8.423259231765094,1437,6-26,4-11
7-M,2.3136473821195485,1002,6-26,4-11
8-NS,0.04194470924690183,864,6-26,4-11
1-PB2,16.472268328752943,2301,6-26,3-25
2-PB1,12.277777777777779,2314,6-26,3-25
3-PA,6.0,2208,6-26,3-25
4-HA,17.49966925437483,1744,6-26,3-25
5-NP,8.0,1507,6-26,3-25
6-NA,12.048387096774194,1437,6-26,3-25
7-M,4.39729098941402,1003,6-26,3-25
8-NS,10.0,864,6-26,3-25
1-PB2,4.257019487588346,2301,6-26,4-19
2-PB1,2.7986116059964883,2314,6-26,4-19
3-PA,6.678960080841588,2208,6-26,4-19
4-HA,11.784539505462648,1745,6-26,4-19
5-NP,2.4827582221738322,1507,6-26,4-19
6-NA,6.639328558711548,1437,6-26,4-19
7-M,2.190349284155177,1002,6-26,4-19
8-NS,0.204371690071364,864,6-26,4-19
1-PB2,9.111825020986943,2301,6-26,2-25
2-PB1,6.5180262415768695,2314,6-26,2-25
3-PA,2.5646212415322096,2208,6-26,2-25
4-HA,12.914935078015668,1735,6-26,2-25
5-NP,5.419928822402658,1507,6-26,2-25
6-NA,12.29102564102564,1437,6-26,2-25
7-M,2.4959026072784187,1003,6-26,2-25
8-NS,2.0,864,6-26,2-25
1-PB2,8.564237424900599,2301,6-26,2-32
2-PB1,7.349949803609112,2314,6-26,2-32
3-PA,4.055045871559633,2208,6-26,2-32
4-HA,13.443116447150645,1737,6-26,2-32
5-NP,2.0,1507,6-26,2-32
6-NA,10.0,1437,6-26,2-32
7-M,2.3005167958656334,1003,6-26,2-32
8-NS,0.4807752853207399,864,6-26,2-32
1-PB2,5.77449638222793,2301,6-26,6-24
2-PB1,2.677940652189561,2310,6-26,6-24
3-PA,4.297285135743213,2192,6-26,6-24
4-HA,11.700458023220591,1739,6-26,6-24
5-NP,3.061725288291533,1400,6-26,6-24
6-NA,7.272497943970782,1437,6-26,6-24
7-M,2.3005167958656334,1003,6-26,6-24
8-NS,1.359825246773779,864,6-26,6-24
1-PB2,9.299586040966798,2301,6-26,2-20
2-PB1,2.43936116518855,2311,6-26,2-20
3-PA,2.3434225885693096,2208,6-26,2-20
4-HA,7.038438621351367,1745,6-26,2-20
5-NP,0.6350167951379058,1507,6-26,2-20
6-NA,6.0,1437,6-26,2-20
7-M,4.300516795865634,1003,6-26,2-20
8-NS,0.19178082191780824,864,6-26,2-20
1-PB2,8.701870524837654,2301,6-26,2-21
2-PB1,2.428187134502924,2311,6-26,2-21
3-PA,4.146537842190016,2206,6-26,2-21
4-HA,9.90272390925859,1745,6-26,2-21
5-NP,0.371191135734072,1507,6-26,2-21
6-NA,6.342151318195888,1437,6-26,2-21
7-M,2.460226065098086,1002,6-26,2-21
8-NS,2.3553457410677896,864,6-26,2-21
1-PB2,4.457856009624804,2301,6-26,3-22
2-PB1,7.3285985684390536,2314,6-26,3-22
3-PA,4.1440677966101696,2208,6-26,3-22
4-HA,15.428015878510926,1681,6-26,3-22
5-NP,4.231805782696679,1507,6-26,3-22
6-NA,12.220560273798961,1437,6-26,3-22
7-M,2.371663040924921,1003,6-26,3-22
8-NS,0.27683396398335675,864,6-26,3-22
1-PB2,16.349424377134262,2301,6-26,3-26
2-PB1,12.459830661212418,2314,6-26,3-26
3-PA,6.282608052737273,2208,6-26,3-26
4-HA,17.532764178214837,1737,6-26,3-26
5-NP,8.068476977567887,1507,6-26,3-26
6-NA,12.170634920634921,1437,6-26,3-26
7-M,4.300516795865634,1003,6-26,3-26
8-NS,10.0,864,6-26,3-26
1-PB2,8.126547455295738,2301,6-26,2-18
2-PB1,2.2777777777777777,2314,6-26,2-18
3-PA,2.0,2208,6-26,2-18
4-HA,7.11966925437483,1741,6-26,2-18
5-NP,0.04731182795698927,1507,6-26,2-18
6-NA,6.0,1437,6-26,2-18
7-M,4.300516795865634,1003,6-26,2-18
8-NS,0.20287485110936146,864,6-26,2-18
1-PB2,10.444176971366423,2285,6-26,3-13
2-PB1,4.513425482551077,1988,6-26,3-13
3-PA,13.045522862835323,2096,6-26,3-13
4-HA,12.566087595704131,1737,6-26,3-13
5-NP,3.0147432220467043,1507,6-26,3-13
6-NA,6.279742845817176,1437,6-26,3-13
7-M,4.439598273111495,1003,6-26,3-13
8-NS,0.12512427045930366,864,6-26,3-13
1-PB2,4.456994378346464,2301,6-26,6-20
2-PB1,2.7416201602948598,2234,6-26,6-20
3-PA,4.432201914416678,2208,6-26,6-20
4-HA,11.277639295533293,1684,6-26,6-20
5-NP,2.2171159228163204,1492,6-26,6-20
6-NA,6.446147996147996,1411,6-26,6-20
7-M,2.3005167958656334,1003,6-26,6-20
8-NS,0.18965279215848693,864,6-26,6-20
1-PB2,14.429732934319654,2172,6-26,3-1
2-PB1,4.371895424836601,2159,6-26,3-1
3-PA,8.279045081613113,2208,6-26,3-1
4-HA,11.090413903287747,1745,6-26,3-1
5-NP,8.218058504484947,1507,6-26,3-1
6-NA,13.61590554214828,1437,6-26,3-1
7-M,8.300516795865633,1003,6-26,3-1
8-NS,6.22463994837549,864,6-26,3-1
1-PB2,6.126547455295737,2301,6-26,3-29
2-PB1,10.375156054931335,2314,6-26,3-29
3-PA,6.121365360303413,2208,6-26,3-29
4-HA,13.508558143263716,1745,6-26,3-29
5-NP,4.0,1507,6-26,3-29
6-NA,13.85234899328859,1437,6-26,3-29
7-M,4.300516795865634,1003,6-26,3-29
8-NS,4.0,864,6-26,3-29
1-PB2,10.416868911017984,1983,6-26,6-32
2-PB1,2.471226120479852,1644,6-26,6-32
3-PA,2.147275884523552,1921,6-26,6-32
4-HA,6.680120517769171,1399,6-26,6-32
5-NP,2.3956712151945423,1262,6-26,6-32
6-NA,6.363977319184485,1305,6-26,6-32
7-M,4.195388590737427,1000,6-26,6-32
8-NS,0.30412552327996684,768,6-26,6-32
1-PB2,4.209387691982126,2301,6-26,4-9
2-PB1,2.523931623931624,2314,6-26,4-9
3-PA,2.066152149944873,2204,6-26,4-9
4-HA,11.556462334880486,1745,6-26,4-9
5-NP,2.0,1507,6-26,4-9
6-NA,8.041275797373357,1437,6-26,4-9
7-M,2.1607415487502117,1002,6-26,4-9
8-NS,0.0,864,6-26,4-9
1-PB2,14.193262007739586,2301,3-28,4-7
2-PB1,21.238169920334037,2311,3-28,4-7
3-PA,12.649028100674295,2208,3-28,4-7
4-HA,14.32916944787309,1732,3-28,4-7
5-NP,10.725799550309505,1507,3-28,4-7
6-NA,19.69298245614035,1437,3-28,4-7
7-M,6.190049305244285,1003,3-28,4-7
8-NS,4.0,864,3-28,4-7
1-PB2,24.630585830443998,2301,3-28,3-10
2-PB1,19.973560920979818,2311,3-28,3-10
3-PA,16.357979603286886,2207,3-28,3-10
4-HA,10.603692059382304,1675,3-28,3-10
5-NP,13.024028511994883,1507,3-28,3-10
6-NA,19.77768833849329,1437,3-28,3-10
7-M,4.086956521739131,1003,3-28,3-10
8-NS,8.047904191616766,864,3-28,3-10
1-PB2,8.130434782608695,2301,3-28,3-24
2-PB1,23.708966319865947,2311,3-28,3-24
3-PA,4.431466176333682,2208,3-28,3-24
4-HA,13.243038620373014,1734,3-28,3-24
5-NP,7.009815700198937,1507,3-28,3-24
6-NA,9.902858999350228,1437,3-28,3-24
7-M,2.3287500393947167,1003,3-28,3-24
8-NS,4.049418604651162,864,3-28,3-24
1-PB2,6.130434782608695,2301,3-28,3-30
2-PB1,15.529659724745187,2310,3-28,3-30
3-PA,10.348458784003727,2208,3-28,3-30
4-HA,16.245934368419814,1737,3-28,3-30
5-NP,4.725799550309506,1507,3-28,3-30
6-NA,16.335796797496588,1437,3-28,3-30
7-M,2.2007776599505124,1002,3-28,3-30
8-NS,4.0,864,3-28,3-30
1-PB2,10.450434782608696,2301,3-28,3-7
2-PB1,16.79927664638773,2280,3-28,3-7
3-PA,6.592329538128096,2208,3-28,3-7
4-HA,14.78016052305483,1643,3-28,3-7
5-NP,7.710030266176074,1507,3-28,3-7
6-NA,10.234881111915639,1087,3-28,3-7
7-M,4.555854747084712,1003,3-28,3-7
8-NS,4.559523809523809,864,3-28,3-7
1-PB2,6.621863354037266,2301,3-28,2-19
2-PB1,13.238169920334034,2311,3-28,2-19
3-PA,4.203845376421803,2208,3-28,2-19
4-HA,10.623387864619511,1741,3-28,2-19
5-NP,4.725799550309506,1507,3-28,2-19
6-NA,11.804951568109464,1437,3-28,2-19
7-M,4.1530722242184686,1003,3-28,2-19
8-NS,4.0,864,3-28,2-19
1-PB2,10.245481088694033,2301,3-28,3-6
2-PB1,19.64547113459879,2311,3-28,3-6
3-PA,4.6319677893742135,2208,3-28,3-6
4-HA,12.86970987031208,1741,3-28,3-6
5-NP,4.725799550309506,1507,3-28,3-6
6-NA,15.791992357130448,1437,3-28,3-6
7-M,4.152315998863314,1003,3-28,3-6
8-NS,4.0566318926974665,864,3-28,3-6
1-PB2,6.567671848456316,2301,3-28,6-18
2-PB1,13.77049283957973,2311,3-28,6-18
3-PA,6.358259507047622,2208,3-28,6-18
4-HA,15.499122540946738,1741,3-28,6-18
5-NP,7.238191394790297,1507,3-28,6-18
6-NA,11.777016069585729,1437,3-28,6-18
7-M,2.413246009101568,1003,3-28,6-18
8-NS,5.1435136883690795,864,3-28,6-18
1-PB2,16.281692549911035,2301,3-28,4-1
2-PB1,16.22391616259263,2304,3-28,4-1
3-PA,20.40573896014637,2208,3-28,4-1
4-HA,14.331265854836547,1735,3-28,4-1
5-NP,8.93341860538045,1507,3-28,4-1
6-NA,17.867968885402362,1437,3-28,4-1
7-M,4.086956521739131,1003,3-28,4-1
8-NS,6.0,864,3-28,4-1
1-PB2,2.6105350858061365,2301,3-28,4-4
2-PB1,16.686340143780072,2311,3-28,4-4
3-PA,8.502265151114138,2208,3-28,4-4
4-HA,14.27430129688809,1741,3-28,4-4
5-NP,4.772004170771552,1507,3-28,4-4
6-NA,14.602125819552008,1437,3-28,4-4
7-M,2.2784623981124055,1002,3-28,4-4
8-NS,4.18762066806363,864,3-28,4-4
1-PB2,6.204968944099379,2301,3-28,6-28
2-PB1,11.325126442073165,2311,3-28,6-28
3-PA,6.203845376421803,2208,3-28,6-28
4-HA,11.394564268245627,1741,3-28,6-28
5-NP,4.816195030535495,1507,3-28,6-28
6-NA,13.692982456140351,1437,3-28,6-28
7-M,2.9651028358802596,1003,3-28,6-28
8-NS,4.0,864,3-28,6-28
1-PB2,6.560247470394649,2301,3-28,2-24
2-PB1,17.644956076539437,2311,3-28,2-24
3-PA,4.634666292002369,2208,3-28,2-24
4-HA,14.612480499724828,1741,3-28,2-24
5-NP,8.99195714590728,1507,3-28,2-24
6-NA,18.481577389450695,1437,3-28,2-24
7-M,2.591834899281686,1003,3-28,2-24
8-NS,6.263303325600605,864,3-28,2-24
1-PB2,6.626255616454083,2301,3-28,3-15
2-PB1,18.24300108845536,2284,3-28,3-15
3-PA,8.400886263949374,2208,3-28,3-15
4-HA,13.228390856933062,1740,3-28,3-15
5-NP,7.013815953783287,1507,3-28,3-15
6-NA,15.272454255888649,1437,3-28,3-15
7-M,2.0869565217391304,1001,3-28,3-15
8-NS,6.144679210904377,864,3-28,3-15
1-PB2,5.012761415116845,2301,3-28,2-26
2-PB1,11.628522307751316,2311,3-28,2-26
3-PA,8.382314663296905,2208,3-28,2-26
4-HA,10.424416017085608,1741,3-28,2-26
5-NP,4.9230615731785585,1507,3-28,2-26
6-NA,13.736236168212656,1437,3-28,2-26
7-M,2.3798765874463417,1003,3-28,2-26
8-NS,4.182019049091274,864,3-28,2-26
1-PB2,16.20110616070057,2301,3-28,4-13
2-PB1,15.346404734846875,2308,3-28,4-13
3-PA,8.271834044977044,2208,3-28,4-13
4-HA,14.423807932278113,1732,3-28,4-13
5-NP,10.725799550309505,1507,3-28,4-13
6-NA,19.741291634884313,1437,3-28,4-13
7-M,6.1281936351411925,1003,3-28,4-13
8-NS,4.0,864,3-28,4-13
1-PB2,6.233262546104839,2301,3-28,6-17
2-PB1,13.238169920334034,2311,3-28,6-17
3-PA,6.365750138326565,2208,3-28,6-17
4-HA,14.838298674206087,1741,3-28,6-17
5-NP,6.79987362438358,1507,3-28,6-17
6-NA,11.739614580492683,1437,3-28,6-17
7-M,2.1082494200736064,1003,3-28,6-17
8-NS,5.195652173913043,864,3-28,6-17
1-PB2,16.897383884702908,2301,3-28,3-20
2-PB1,27.435545378803557,2280,3-28,3-20
3-PA,11.594986250960105,2208,3-28,3-20
4-HA,22.66322860219549,1687,3-28,3-20
5-NP,13.4671928431918,1507,3-28,3-20
6-NA,17.692982456140353,1437,3-28,3-20
7-M,6.371948015906,1000,3-28,3-20
8-NS,4.0,864,3-28,3-20
1-PB2,6.377466741557916,2301,3-28,6-22
2-PB1,13.403723765093792,2311,3-28,6-22
3-PA,6.4719581875098315,2208,3-28,6-22
4-HA,15.83797035467422,1734,3-28,6-22
5-NP,6.803591269255554,1507,3-28,6-22
6-NA,11.970660693470009,1437,3-28,6-22
7-M,2.4161631606204836,1002,3-28,6-22
8-NS,4.0,835,3-28,6-22
1-PB2,6.180976298854183,2301,3-28,2-23
2-PB1,17.587577778662755,2311,3-28,2-23
3-PA,4.395795515411214,2208,3-28,2-23
4-HA,14.60298002741221,1741,3-28,2-23
5-NP,8.889425387063008,1507,3-28,2-23
6-NA,17.771722613620668,1437,3-28,2-23
7-M,2.2055925399762124,1003,3-28,2-23
8-NS,6.0,864,3-28,2-23
1-PB2,2.5544201976702428,2301,3-28,4-11
2-PB1,14.04486855142291,2311,3-28,4-11
3-PA,4.628737216452112,2208,3-28,4-11
4-HA,14.508580558080181,1741,3-28,4-11
5-NP,6.8424703970809935,1507,3-28,4-11
6-NA,14.116241687905443,1437,3-28,4-11
7-M,2.3562815913965056,1002,3-28,4-11
8-NS,4.041944709246902,864,3-28,4-11
1-PB2,14.476155656065906,2301,3-28,3-25
2-PB1,23.238169920334037,2311,3-28,3-25
3-PA,8.203845376421803,2208,3-28,3-25
4-HA,20.37776136172747,1740,3-28,3-25
5-NP,12.725799550309505,1507,3-28,3-25
6-NA,17.741369552914538,1437,3-28,3-25
7-M,4.183730715287517,1003,3-28,3-25
8-NS,14.0,864,3-28,3-25
1-PB2,6.260906814901306,2301,3-28,4-19
2-PB1,13.759003748552743,2311,3-28,4-19
3-PA,8.88280545726339,2208,3-28,4-19
4-HA,14.406009154813516,1741,3-28,4-19
5-NP,7.2085577724833385,1507,3-28,4-19
6-NA,12.332311014851898,1437,3-28,4-19
7-M,2.269542633217081,1002,3-28,4-19
8-NS,4.204371690071364,864,3-28,4-19
1-PB2,7.115712348299901,2301,3-28,2-25
2-PB1,17.47841838413313,2311,3-28,2-25
3-PA,4.7684666179540125,2208,3-28,2-25
4-HA,16.234817425779234,1734,3-28,2-25
5-NP,10.145728372712162,1507,3-28,2-25
6-NA,17.98400809716599,1437,3-28,2-25
7-M,2.2823423331519166,1003,3-28,2-25
8-NS,6.0,864,3-28,2-25
1-PB2,6.568124752213558,2301,3-28,2-32
2-PB1,18.310341946165373,2311,3-28,2-32
3-PA,6.2588912479814365,2208,3-28,2-32
4-HA,16.944586096501514,1735,3-28,2-32
5-NP,6.725799550309506,1507,3-28,2-32
6-NA,15.692982456140351,1437,3-28,2-32
7-M,2.0869565217391304,1003,3-28,2-32
8-NS,4.48077528532074,864,3-28,2-32
1-PB2,7.77838370954089,2301,3-28,6-24
2-PB1,13.638332794745818,2310,3-28,6-24
3-PA,6.501130512165016,2192,3-28,6-24
4-HA,15.55269690334069,1735,3-28,6-24
5-NP,7.787524838601038,1400,3-28,6-24
6-NA,12.965480400111131,1437,3-28,6-24
7-M,2.0869565217391304,1003,3-28,6-24
8-NS,5.359825246773779,864,3-28,6-24
1-PB2,7.303473368279758,2301,3-28,2-20
2-PB1,13.399753307744808,2311,3-28,2-20
3-PA,4.5472679649911125,2208,3-28,2-20
4-HA,10.600147314526938,1741,3-28,2-20
5-NP,5.360816345447412,1507,3-28,2-20
6-NA,11.692982456140351,1437,3-28,2-20
7-M,4.086956521739131,1003,3-28,2-20
8-NS,4.191780821917808,864,3-28,2-20
1-PB2,6.7057578521506125,2301,3-28,2-21
2-PB1,13.38857927705918,2311,3-28,2-21
3-PA,6.350383218611819,2206,3-28,2-21
4-HA,12.818697636548922,1741,3-28,2-21
5-NP,5.096990686043578,1507,3-28,2-21
6-NA,12.035133774336238,1437,3-28,2-21
7-M,2.2466657909715835,1002,3-28,2-21
8-NS,6.35534574106779,864,3-28,2-21
1-PB2,2.4617433369377633,2301,3-28,3-22
2-PB1,18.288990710995318,2311,3-28,3-22
3-PA,6.347913173031973,2208,3-28,3-22
4-HA,18.301195705161806,1681,3-28,3-22
5-NP,8.957605333006184,1507,3-28,3-22
6-NA,17.913542729939316,1437,3-28,3-22
7-M,2.158102766798419,1003,3-28,3-22
8-NS,4.276833963983357,864,3-28,3-22
1-PB2,14.35331170444722,2301,3-28,3-26
2-PB1,23.420222803768677,2311,3-28,3-26
3-PA,8.486453429159077,2208,3-28,3-26
4-HA,20.191863788247005,1736,3-28,3-26
5-NP,12.794276527877392,1507,3-28,3-26
6-NA,17.863617376775274,1437,3-28,3-26
7-M,4.086956521739131,1003,3-28,3-26
8-NS,14.0,864,3-28,3-26
1-PB2,6.130434782608695,2301,3-28,2-18
2-PB1,13.238169920334034,2311,3-28,2-18
3-PA,4.203845376421803,2208,3-28,2-18
4-HA,10.518916681503477,1739,3-28,2-18
5-NP,4.773111378266495,1507,3-28,2-18
6-NA,11.692982456140351,1437,3-28,2-18
7-M,4.086956521739131,1003,3-28,2-18
8-NS,4.202874851109361,864,3-28,2-18
1-PB2,8.448064298679384,2285,3-28,3-13
2-PB1,13.403229389813216,1988,3-28,3-13
3-PA,15.249368239257127,2096,3-28,3-13
4-HA,15.686230985108047,1734,3-28,3-13
5-NP,7.74054277235621,1507,3-28,3-13
6-NA,11.972725301957526,1437,3-28,3-13
7-M,4.226037998984992,1003,3-28,3-13
8-NS,4.125124270459303,864,3-28,3-13
1-PB2,6.460881705659425,2301,3-28,6-20
2-PB1,13.702012302851118,2234,3-28,6-20
3-PA,6.636047290838483,2208,3-28,6-20
4-HA,14.882914612900356,1684,3-28,6-20
5-NP,6.942915473125827,1492,3-28,6-20
6-NA,12.139130452288349,1411,3-28,6-20
7-M,2.0869565217391304,1003,3-28,6-20
8-NS,4.189652792158487,864,3-28,6-20
1-PB2,12.433620261632615,2172,3-28,3-1
2-PB1,15.332287567392857,2159,3-28,3-1
3-PA,10.482890458034916,2208,3-28,3-1
4-HA,14.942652783407848,1741,3-28,3-1
5-NP,12.943858054794454,1507,3-28,3-1
6-NA,19.30888799828863,1437,3-28,3-1
7-M,8.08695652173913,1003,3-28,3-1
8-NS,10.22463994837549,864,3-28,3-1
1-PB2,0.13043478260869562,2301,3-28,3-29
2-PB1,1.335548197487593,2311,3-28,3-29
3-PA,0.3252107367252166,2208,3-28,3-29
4-HA,0.1300277926145879,1741,3-28,3-29
5-NP,0.7257995503095054,1507,3-28,3-29
6-NA,0.15936653714823976,1437,3-28,3-29
7-M,0.0869565217391304,1003,3-28,3-29
8-NS,0.0,864,3-28,3-29
1-PB2,8.420756238330942,1983,3-28,6-32
2-PB1,12.800874547384586,1644,3-28,6-32
3-PA,4.351121260945354,1921,3-28,6-32
4-HA,6.21372348018743,1399,3-28,6-32
5-NP,7.121470765504048,1262,3-28,6-32
6-NA,10.056959775324836,1305,3-28,6-32
7-M,4.128205128205128,1000,3-28,6-32
8-NS,4.304125523279967,768,3-28,6-32
1-PB2,2.2132750192950863,2301,3-28,4-9
2-PB1,13.48432376648788,2311,3-28,4-9
3-PA,4.2699975263666765,2204,3-28,4-9
4-HA,14.177931984231355,1741,3-28,4-9
5-NP,6.725799550309506,1507,3-28,4-9
6-NA,13.73425825351371,1437,3-28,4-9
7-M,2.2222478229821836,1002,3-28,4-9
8-NS,4.0,864,3-28,4-9
1-PB2,26.56297827296619,2301,4-7,3-10
2-PB1,14.735391000645782,2311,4-7,3-10
3-PA,20.599316951117572,2207,4-7,3-10
4-HA,6.672805922026214,1675,4-7,3-10
5-NP,6.298228961685381,1507,4-7,3-10
6-NA,12.08470588235294,1437,4-7,3-10
7-M,2.1030927835051547,1003,4-7,3-10
8-NS,4.047904191616767,864,4-7,3-10
1-PB2,18.06282722513089,2301,4-7,3-24
2-PB1,22.47079639953191,2314,4-7,3-24
3-PA,8.67280352416437,2208,4-7,3-24
4-HA,11.312152483016925,1729,4-7,3-24
5-NP,8.284016149889432,1507,4-7,3-24
6-NA,10.209876543209877,1437,4-7,3-24
7-M,4.344886301160741,1003,4-7,3-24
8-NS,0.04941860465116284,864,4-7,3-24
1-PB2,16.062827225130892,2301,4-7,3-30
2-PB1,14.291489804411151,2310,4-7,3-30
3-PA,14.589796131834413,2208,4-7,3-30
4-HA,10.31504823106373,1732,4-7,3-30
5-NP,6.0,1507,4-7,3-30
6-NA,8.642814341356237,1437,4-7,3-30
7-M,4.113821138211382,1002,4-7,3-30
8-NS,0.0,864,4-7,3-30
1-PB2,20.38282722513089,2301,4-7,3-7
2-PB1,15.561106726053694,2280,4-7,3-7
3-PA,10.833666885958785,2208,4-7,3-7
4-HA,8.849274385698742,1643,4-7,3-7
5-NP,8.984230715866566,1507,4-7,3-7
6-NA,8.541898655775288,1087,4-7,3-7
7-M,6.571991008850736,1003,4-7,3-7
8-NS,0.5595238095238095,864,4-7,3-7
1-PB2,16.55425579655946,2301,4-7,2-19
2-PB1,12.0,2318,4-7,2-19
3-PA,8.445182724252492,2208,4-7,2-19
4-HA,8.692501727263426,1734,4-7,2-19
5-NP,6.0,1507,4-7,2-19
6-NA,12.111969111969113,1437,4-7,2-19
7-M,6.0369770810258165,1003,4-7,2-19
8-NS,0.0,864,4-7,2-19
1-PB2,20.177873531216232,2301,4-7,3-6
2-PB1,18.407301214264752,2314,4-7,3-6
3-PA,8.873305137204902,2208,4-7,3-6
4-HA,6.938823732955992,1734,4-7,3-6
5-NP,6.0,1507,4-7,3-6
6-NA,8.099009900990099,1437,4-7,3-6
7-M,6.037733306380972,1003,4-7,3-6
8-NS,0.05663189269746648,864,4-7,3-6
1-PB2,16.50006429097851,2301,4-7,6-18
2-PB1,12.532322919245695,2317,4-7,6-18
3-PA,10.599596854878312,2208,4-7,6-18
4-HA,13.568236403590653,1734,4-7,6-18
5-NP,8.512391844480792,1507,4-7,6-18
6-NA,12.084033613445378,1437,4-7,6-18
7-M,4.417494588965563,1003,4-7,6-18
8-NS,1.1435136883690797,864,4-7,6-18
1-PB2,10.214084992433225,2301,4-7,4-1
2-PB1,8.985746242258593,2309,4-7,4-1
3-PA,16.647076307977063,2208,4-7,4-1
4-HA,4.400379717480459,1734,4-7,4-1
5-NP,2.2076190550709445,1507,4-7,4-1
6-NA,2.1749864292620105,1437,4-7,4-1
7-M,2.1030927835051547,1003,4-7,4-1
8-NS,2.0,864,4-7,4-1
1-PB2,12.542927528328331,2301,4-7,4-4
2-PB1,15.44817022344604,2315,4-7,4-4
3-PA,12.743602498944828,2208,4-7,4-4
4-HA,8.343415159532004,1733,4-7,4-4
5-NP,6.0462046204620465,1507,4-7,4-4
6-NA,6.909143363411657,1437,4-7,4-4
7-M,4.365418919851536,1002,4-7,4-4
8-NS,0.1876206680636296,864,4-7,4-4
1-PB2,16.137361386621574,2301,4-7,6-28
2-PB1,10.08695652173913,2317,4-7,6-28
3-PA,10.445182724252492,2208,4-7,6-28
4-HA,9.46367813088954,1734,4-7,6-28
5-NP,6.090395480225989,1507,4-7,6-28
6-NA,14.0,1437,4-7,6-28
7-M,4.948966574114236,1003,4-7,6-28
8-NS,0.0,864,4-7,6-28
1-PB2,16.49263991291684,2301,4-7,2-24
2-PB1,16.4067861562054,2318,4-7,2-24
3-PA,8.876003639833058,2208,4-7,2-24
4-HA,8.681594362368742,1734,4-7,2-24
5-NP,10.266157595597777,1507,4-7,2-24
6-NA,10.788594933310348,1437,4-7,2-24
7-M,4.647805992235468,1003,4-7,2-24
8-NS,2.2633033256006043,864,4-7,2-24
1-PB2,16.558648058976274,2301,4-7,3-15
2-PB1,17.004831168121328,2284,4-7,3-15
3-PA,12.64222361178006,2208,4-7,3-15
