gene,l1norm,genelen,sampid1,sampid2
4-HA,8.749938493433376,1643,4-10,3-7
5-NP,5.048907332781988,1507,4-10,3-7
6-NA,2.541898655775288,1087,4-10,3-7
7-M,2.9601191815111862,1003,4-10,3-7
8-NS,0.5595238095238095,864,4-10,3-7
1-PB2,4.813238059638397,2301,4-10,2-19
2-PB1,4.087719298245614,2307,4-10,2-19
3-PA,0.2434787704401501,2198,4-10,2-19
4-HA,8.515243757075988,1737,4-10,2-19
5-NP,2.0646766169154227,1507,4-10,2-19
6-NA,6.111969111969112,1437,4-10,2-19
7-M,2.5573366586449446,1003,4-10,2-19
8-NS,0.0,864,4-10,2-19
1-PB2,8.236855794295161,2301,4-10,3-6
2-PB1,10.495020512510363,2307,4-10,3-6
3-PA,0.6716011833925604,2198,4-10,3-6
4-HA,6.673070187547313,1737,4-10,3-6
5-NP,2.0646766169154227,1507,4-10,3-6
6-NA,2.099009900990099,1437,4-10,3-6
7-M,2.5565804332897883,1003,4-10,3-6
8-NS,0.05663189269746648,864,4-10,3-6
1-PB2,4.759046554057445,2301,4-10,6-18
2-PB1,4.620042217491311,2307,4-10,6-18
3-PA,2.3978929010659695,2198,4-10,6-18
4-HA,13.390978433403209,1737,4-10,6-18
5-NP,4.577068461396214,1507,4-10,6-18
6-NA,6.084033613445378,1437,4-10,6-18
7-M,0.8175104435280427,1003,4-10,6-18
8-NS,1.1435136883690797,864,4-10,6-18
1-PB2,14.473067255512161,2301,4-10,4-1
2-PB1,7.073465540504207,2300,4-10,4-1
3-PA,16.445372354164718,2198,4-10,4-1
4-HA,8.27711405128532,1735,4-10,4-1
5-NP,6.272295671986368,1507,4-10,4-1
6-NA,4.1749864292620105,1437,4-10,4-1
7-M,2.4912209561656056,1003,4-10,4-1
8-NS,2.0,864,4-10,4-1
1-PB2,0.8019097914072657,2301,4-10,4-4
2-PB1,3.5358895216916526,2307,4-10,4-4
3-PA,4.541898545132485,2198,4-10,4-4
4-HA,8.166157189344563,1737,4-10,4-4
5-NP,2.110881237377469,1507,4-10,4-4
6-NA,0.9091433634116561,1437,4-10,4-4
7-M,0.5201912778863005,1002,4-10,4-4
8-NS,0.1876206680636296,864,4-10,4-4
1-PB2,4.3963436497005075,2301,4-10,6-28
2-PB1,2.1746758199847442,2307,4-10,6-28
3-PA,2.24347877044015,2198,4-10,6-28
4-HA,9.286420160702097,1737,4-10,6-28
5-NP,2.1550720971414115,1507,4-10,6-28
6-NA,8.0,1437,4-10,6-28
7-M,1.2766136471183287,1003,4-10,6-28
