sampid,mapped,unmapped,fail_qual
H3N2_1814_T3_T_S502_N709_R,182753,1615,41
H3N2_1814_T4_T_S502_N710_R,146488,708,18
H3N2_1814_T5_T_S502_N711_R,122405,748,27
H3N2_1815_T0_N_S502_N712_R,114827,441,24
H3N2_1825_T0_N_S503_N704_R,80599,62,24
H3N2_1815_T1_N_S503_N701_R,112096,394,31
H3N2_1825_T1_T_S503_N705_R,89331,167,18
H3N2_1815_T2_T_S503_N702_R,200227,1801,35
H3N2_1828_T0_N_S503_N708_R,27812,58,8
H3N2_1825_T3_N_S503_N707_R,82827,94291,18
H3N2_1825_T2_T_S503_N706_R,199936,2856,30
H3N2_1815_T3_N_S503_N703_R,280519,3472,48
H3N2_1840_T10_T_S504_N704_RP,27774,110234,4
H3N2_1828_T2_T_S503_N710_R,57565,59927,6
H3N2_1828_T1_N_S503_N709_R,116042,8494,22
H3N2_1840_T1_T_S503_N712_R,89356,416,25
H3N2_1840_T2_N_S504_N701_R,98946,7255,15
H3N2_1840_T3_N_S504_N702_R,90933,33717,17
H3N2_1840_T7_T_S504_N703_RP,74499,132324,7
H3N2_1842_T0_T_S504_N705_R,38357,892,12
H3N2_1840_T0_T_S503_N711_R,246168,25087,65
H3N2_1842_T1_N_S504_N706_R,92454,1488,14
H3N2_1842_T3_N_S504_N708_R,87999,4297,18
H3N2_1842_T4_N_S504_N709_R,77133,743,11
H3N2_1842_T5_N_S504_N710_R,105386,903,14
H3N2_1842_T2_T_S504_N707_R,250660,39266,39
H3N2_1843_T0_N_S504_N711_R,161480,2406,27
H3N2_1843_T10_T_S505_N705_R,144503,49383,32
H3N2_1843_T2_N_S504_N712_R,179179,15299,32
H3N2_1843_T3_N_S505_N701_R,115079,2751,32
H3N2_1843_T4_N_S505_N702_R,147491,431,36
H3N2_1843_T7_T_S505_N704_R,69286,1048,16
H3N2_1847_T2_N_S505_N708_RP,41003,31193,2
H3N2_1847_T0_N_S505_N706_R,97857,466,14
H3N2_1848_T0_N_S505_N709_R,52892,316,11
H3N2_1848_T1_N_S505_N710_R,121922,899,26
H3N2_1847_T1_T_S505_N707_R,212115,484,43
H3N2_1850_T0_T_S505_N712_R,51071,63741,8
H3N2_1843_T5_N_S505_N703_R,378538,2088,68
H3N2_1848_T2_N_S505_N711_R,229425,4554,48
H3N2_1850_T2_N_S506_N702_R,133458,582,31
H3N2_1860_T0_N_S506_N704_R,72227,104,17
H3N2_1860_T5_N_S506_N707_R,96810,914,28
H3N2_1860_T3_N_S506_N706_R,115672,297,25
H3N2_1860_T1_N_S506_N705_R,155704,291,32
H3N2_1850_T4_T_S506_N703_R,265119,33876,60
H3N2_1864_T0_T_S506_N708_R,108283,10335,17
H3N2_1864_T2_T_S506_N710_R,82450,22057,13
H3N2_1866_T10_T_S507_N704_R,23892,452,11
H3N2_1864_T1_N_S506_N709_R,189119,4070,42
H3N2_1866_T0_N_S506_N711_R,128266,1197,21
H3N2_1866_T2_N_S507_N701_R,139557,1984,49
H3N2_1866_T1_N_S506_N712_R,139580,288,40
H3N2_1866_T3_N_S507_N702_R,134285,249,38
H3N2_1866_T7_T_S507_N703_R,150828,97631,18
H3N2_1867_T1_N_S507_N706_R,118406,3443,104
H3N2_1867_T0_N_S507_N705_R,145050,294,35
H3N2_1867_T4_N_S507_N708_R,62503,20971,10
H3N2_1867_T2_N_S507_N707_R,176302,16915,42
H3N2_1868_T1_N_S507_N710_R,130689,5898,16
H3N2_1868_T2_N_S507_N711_R,160564,1025,37
H3N2_1868_T0_N_S507_N709_R,226171,3268,38
H3N2_1869_T0_N_S508_N701_R,111021,1656,60
H3N2_1868_T3_N_S507_N712_R,135658,13223,28
H3N2_1869_T3_T_S508_N704_R,33844,50537,15
H3N2_1869_T2_N_S508_N703_R,80802,56824,19
H3N2_1869_T1_N_S508_N702_R,110311,9005,29
H3N2_1874_T1_N_S508_N706_R,47805,131,6
H3N2_1874_T3_N_S508_N708_R,69432,2906,20
H3N2_1874_T0_N_S508_N705_R,174416,9150,53
H3N2_1874_T2_N_S508_N707_R,166435,2786,28
H3N2_1875_T1_N_S508_N710_R,80628,5889,20
H3N2_1875_T0_N_S508_N709_R,201550,2760,24
H3N2_1875_T4_N_S508_N712_R,120367,7188,21
H3N2_1875_T2_N_S508_N711_R,184466,5449,39
H3N2_1875_T5_N_S517_N701_R,275773,29146,21
H3N2_1876_T1_N_S517_N703_R,157841,42232,24
H3N2_1876_T0_N_S517_N702_R,293315,2809,57
H3N2_1876_T2_N_S517_N704_R,198407,50008,21
H3N2_1876_T3_N_S517_N705_R,280003,15113,29
H3N2_1878_T0_N_S517_N707_R,211291,5122,34
H3N2_1876_T4_N_S517_N706_R,282609,13531,24
H3N2_1878_T3_N_S517_N709_R,221674,152176,14
H3N2_1878_T1_N_S517_N708_R,548667,3923,53
H3N2_3608_T1_N_S502_N707_R,271444,6701,27
H3N2_3608_T0_N_S502_N706_R,336881,534,43
H3N2_3609_T2_N_S502_N711_R,38364,15084,4
H3N2_3608_T5_T_S502_N708_R,276516,4439,38
