sampid,gene,pi
H3N2_1847_T2_N_S505_N708_RP,4-HA,0.00026679699697356184
H3N2_1668_T5_T_S505_N712_R,8-NS,0.00046690157822639074
H3N2_3608_T0_N_S502_N706_R,4-HA,0.0003370258222338167
H3N2_1413_T5_N_S504_N709_R,4-HA,0.0004400886728004698
H3N2_1840_T7_T_S504_N703_RP,6-NA,0.0007092914133943157
H3N2_1869_T2_N_S508_N703_R,6-NA,0.0004006696592293576
H3N2_1876_T4_N_S517_N706_R,3-PA,5.872246593708598e-05
H3N2_3612_T4_N_S504_N702_R,1-PB2,0.00033032850389805817
H3N2_1221_T1_N_S517_N712_R,2-PB1,0.0003241789041389179
H3N2_1231_T4_N_S503_N710_R,5-NP,8.61936224671942e-05
H3N2_1868_T2_N_S507_N711_R,4-HA,5.955811279018923e-05
H3N2_1227_T1_T_S503_N705_R,3-PA,5.0872078898098257e-05
H3N2_1866_T7_T_S507_N703_R,5-NP,0.0003990135224065809
H3N2_1412_T1_N_S504_N701_R,4-HA,0.0003243031372741792
H3N2_1225_T3_N_S502_N709_RP,4-HA,0.0009395423501762019
H3N2_1227_T2_T_S503_N706_RP,1-PB2,0.00023569231920886097
H3N2_3609_T3_N_S502_N712_R,8-NS,0.00011376015725882367
H3N2_1843_T7_T_S505_N704_R,6-NA,0.00039518454760279257
H3N2_1412_T3_T_S504_N703_R,4-HA,0.0004727875408815976
H3N2_1843_T7_T_S505_N704_R,2-PB1,0.0002704801232615054
H3N2_1850_T2_N_S506_N702_R,4-HA,8.637880301146958e-05
H3N2_1686_T0_N_S507_N712_R,3-PA,0.00011310047535817089
H3N2_1825_T3_N_S503_N707_R,6-NA,0.00023508345727099207
H3N2_3608_T1_N_S502_N707_R,1-PB2,5.536989049769701e-05
H3N2_1869_T1_N_S508_N702_R,2-PB1,0.00030897761055530314
H3N2_1842_T1_N_S504_N706_R,1-PB2,5.969541267145262e-05
H3N2_1867_T2_N_S507_N707_R,6-NA,7.722493505882818e-05
H3N2_1682_T5_T_S507_N709_R,4-HA,7.128913194237683e-05
H3N2_1813_T0_T_S502_N702_R,4-HA,7.50589560603262e-05
H3N2_1840_T7_T_S504_N703_RP,4-HA,0.0003717844375679896
H3N2_1843_T10_T_S505_N705_R,4-HA,0.0005071857412738687
H3N2_1691_T1_T_S517_N701_R,2-PB1,0.00030864871313564945
H3N2_3613_T1_T_S504_N704_R,5-NP,0.0002576289356906218
H3N2_1840_T10_T_S504_N704_RP,6-NA,0.000253590940616261
H3N2_1876_T0_N_S517_N702_R,4-HA,6.480662535354842e-05
H3N2_1840_T0_T_S503_N711_R,4-HA,0.0002917883500164878
H3N2_3612_T1_N_S503_N711_R,6-NA,0.00017890569574965904
H3N2_1850_T0_T_S505_N712_R,4-HA,0.0002180957304149652
H3N2_1668_T0_N_S505_N709_R,4-HA,0.0002108041650256048
H3N2_1868_T1_N_S507_N710_R,4-HA,0.00010284905680082774
H3N2_1672_T2_T_S506_N711_R,6-NA,9.329819909546539e-05
H3N2_1691_T1_T_S517_N701_R,4-HA,0.00010556880771144352
H3N2_1224_T2_T_S502_N704_RP,3-PA,0.0005909467597184948
H3N2_1815_T2_T_S503_N702_R,5-NP,6.860340121188447e-05
H3N2_3608_T5_T_S502_N708_R,3-PA,0.00026525101141191225
H3N2_1701_T1_T_S517_N705_R,1-PB2,0.00011867264791938763
H3N2_1842_T0_T_S504_N705_R,8-NS,0.0007281232565833965
H3N2_1224_T1_T_S502_N703_R,1-PB2,0.000157398863064222
H3N2_1867_T1_N_S507_N706_R,2-PB1,0.0001823116323817215
H3N2_1864_T0_T_S506_N708_R,4-HA,0.00014076705466436977
H3N2_1876_T0_N_S517_N702_R,1-PB2,9.181061398275548e-05
H3N2_1814_T3_T_S502_N709_R,4-HA,0.0004116364297584468
H3N2_1668_T5_T_S505_N712_R,6-NA,0.0003268682454198288
H3N2_1225_T5_T_S502_N710_R,5-NP,6.11032550742388e-05
H3N2_1869_T3_T_S508_N704_R,6-NA,0.0003562694946610959
H3N2_1701_T3_T_S517_N707_R,6-NA,0.000278745642642161
H3N2_1225_T3_N_S502_N709_RP,3-PA,0.00022567964062143983
H3N2_3612_T3_T_S504_N701_R,8-NS,0.00021726681637279717
H3N2_1414_T6_T_S505_N701_RP,5-NP,0.00015448060978741715
H3N2_1231_T2_T_S503_N709_R,5-NP,0.0002269859765626076
H3N2_1691_T2_T_S517_N702_R,4-HA,0.000244003006180601
H3N2_3615_T1_N_S504_N708_R,6-NA,0.00023319003215593003
H3N2_1869_T1_N_S508_N702_R,1-PB2,0.0003458015928345471
H3N2_3608_T5_T_S502_N708_R,8-NS,0.0003692940171480542
H3N2_1224_T3_T_S502_N705_RP,3-PA,7.550488232615592e-05
